resume_text,job_description,match_score,matched_skills,missing_skills,fit_category
"Aarav is a Data Analyst professional based in Kochi with 7 years of experience. Education: B.Tech in Computer Science. Skills include Data Cleaning, Pandas, SQL, Excel, Power BI, Statistics, Data Visualization, Tableau. Experience includes analyze business data, identify trends.","We are hiring a Data Analyst. Required skills: Pandas, Excel, Data Cleaning, Matplotlib, Power BI. Responsibilities include write SQL queries, analyze business data, identify trends. The role requires approximately 5+ years of relevant experience.",81,"Pandas, Excel, Data Cleaning, Power BI",Matplotlib,Good Fit
"Aditya is a Backend Developer professional based in Chennai with 6 years of experience. Education: MCA. Skills include Git, Unit Testing, Python, PostgreSQL, Java, REST API, Docker, SQL. Experience includes implement authentication, develop scalable backend services.","We are hiring a Backend Developer. Required skills: REST API, SQL, Python, Spring Boot, Java, Redis, Unit Testing, PostgreSQL. Responsibilities include optimize database queries, implement authentication, design APIs. The role requires approximately 3+ years of relevant experience.",82,"REST API, SQL, Python, Java, Unit Testing, PostgreSQL","Spring Boot, Redis",Good Fit
"Sanjay is a Cloud Engineer professional based in Kochi with 2 years of experience. Education: B.E. in Information Technology. Skills include Python, Git, Azure. Experience includes automate deployments, configure containerized services.","We are hiring a Cloud Engineer. Required skills: CI/CD, Networking, Azure, AWS, Docker, Python, Git. Responsibilities include configure containerized services, monitor systems, manage cloud infrastructure. The role requires approximately 4+ years of relevant experience.",44,"Azure, Python, Git","CI/CD, Networking, AWS, Docker",No Fit
"Nikhil is a Cloud Engineer professional based in Pune with 6 years of experience. Education: B.E. in Information Technology. Skills include Docker, Networking, Linux. Experience includes manage cloud infrastructure, configure containerized services.","We are hiring a Cloud Engineer. Required skills: Docker, Git, Python, Linux, Azure, AWS, CI/CD. Responsibilities include monitor systems, manage cloud infrastructure, configure containerized services. The role requires approximately 3+ years of relevant experience.",38,"Docker, Linux","Git, Python, Azure, AWS, CI/CD",No Fit
"Aditya is a AI Engineer professional based in Hyderabad with 5 years of experience. Education: MCA. Skills include Deep Learning, Scikit-learn. Experience includes develop AI solutions, train deep learning models.","We are hiring a AI Engineer. Required skills: Python, Deep Learning, Scikit-learn, Git, FastAPI, NLP, PyTorch, Transformers. Responsibilities include deploy inference services, process unstructured data, train deep learning models. The role requires approximately 4+ years of relevant experience.",40,"Deep Learning, Scikit-learn","Python, Git, FastAPI, NLP, PyTorch, Transformers",No Fit
"Rohit is a AI Engineer professional based in Mumbai with 7 years of experience. Education: B.Tech in Computer Science. Skills include Scikit-learn, Computer Vision, Python, Git, Transformers, TensorFlow, Deep Learning, FastAPI. Experience includes process unstructured data, train deep learning models.","We are hiring a AI Engineer. Required skills: FastAPI, TensorFlow, Git, PyTorch, Deep Learning, Computer Vision, Python. Responsibilities include deploy inference services, train deep learning models, process unstructured data. The role requires approximately 5+ years of relevant experience.",84,"FastAPI, TensorFlow, Git, Deep Learning, Computer Vision, Python",PyTorch,Good Fit
"Priya is a Cloud Engineer professional based in Hyderabad with 2 years of experience. Education: B.Tech in Computer Science. Skills include Kubernetes, Azure, Docker. Experience includes automate deployments, configure containerized services.","We are hiring a Cloud Engineer. Required skills: Python, CI/CD, Git, AWS, Linux. Responsibilities include automate deployments, configure containerized services, manage cloud infrastructure. The role requires approximately 0+ years of relevant experience.",18,None,"Python, CI/CD, Git, AWS, Linux",No Fit
"Ishita is a Data Analyst professional based in Hyderabad with 5 years of experience. Education: M.Tech in Artificial Intelligence. Skills include SQL, Python, Excel, Tableau, Pandas, Matplotlib, Power BI, Statistics, Data Cleaning. Experience includes identify trends, write SQL queries.","We are hiring a Data Analyst. Required skills: Pandas, Data Visualization, Power BI, Excel, Data Cleaning, Python, Matplotlib. Responsibilities include write SQL queries, build dashboards, identify trends. The role requires approximately 3+ years of relevant experience.",88,"Pandas, Power BI, Excel, Data Cleaning, Python, Matplotlib",Data Visualization,Good Fit
"Nikhil is a ML Engineer professional based in Chennai with 7 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Python, Git, TensorFlow, Scikit-learn. Experience includes monitor model performance, develop machine learning pipelines.","We are hiring a ML Engineer. Required skills: Machine Learning, TensorFlow, Python, Scikit-learn, Docker. Responsibilities include monitor model performance, prepare training data, develop machine learning pipelines. The role requires approximately 1+ years of relevant experience.",68,"TensorFlow, Python, Scikit-learn","Machine Learning, Docker",Potential Fit
"Sanjay is a Cloud Engineer professional based in Noida with 2 years of experience. Education: M.Sc. in Data Science. Skills include Git, Azure. Experience includes automate deployments, configure containerized services.","We are hiring a Cloud Engineer. Required skills: Azure, CI/CD, Docker, Python, Networking, Kubernetes, AWS, Linux. Responsibilities include manage cloud infrastructure, automate deployments, configure containerized services. The role requires approximately 3+ years of relevant experience.",19,Azure,"CI/CD, Docker, Python, Networking, Kubernetes, AWS, Linux",No Fit
"Sneha is a Python Developer professional based in Hyderabad with 5 years of experience. Education: B.E. in Information Technology. Skills include Unit Testing, PostgreSQL, Flask, REST API. Experience includes write Python code, design REST APIs.","We are hiring a Python Developer. Required skills: Flask, Django, REST API, Git, FastAPI. Responsibilities include integrate databases, write Python code, develop backend services. The role requires approximately 2+ years of relevant experience.",48,"Flask, REST API","Django, Git, FastAPI",No Fit
"Kiran is a Data Scientist professional based in Noida with 8 years of experience. Education: B.Sc. in Computer Science. Skills include Power BI, Statistics, Machine Learning, NumPy, Matplotlib, SQL, Scikit-learn, TensorFlow. Experience includes build predictive models, create data visualizations.","We are hiring a Data Scientist. Required skills: NumPy, Pandas, Statistics, TensorFlow, Python, Scikit-learn, Power BI. Responsibilities include clean and analyze datasets, build predictive models, perform statistical analysis. The role requires approximately 5+ years of relevant experience.",74,"NumPy, Statistics, TensorFlow, Scikit-learn, Power BI","Pandas, Python",Potential Fit
"Ishita is a Data Analyst professional based in Chennai with 6 years of experience. Education: B.Sc. in Computer Science. Skills include Data Visualization, Data Cleaning, Pandas. Experience includes analyze business data, identify trends.","We are hiring a Data Analyst. Required skills: SQL, Data Visualization, Power BI, Tableau, Excel. Responsibilities include write SQL queries, build dashboards, identify trends. The role requires approximately 5+ years of relevant experience.",36,Data Visualization,"SQL, Power BI, Tableau, Excel",No Fit
"Sneha is a ML Engineer professional based in Mysuru with 8 years of experience. Education: MCA. Skills include Docker, Scikit-learn, SQL, Git, TensorFlow, Python, PyTorch, Machine Learning. Experience includes monitor model performance, prepare training data.","We are hiring a ML Engineer. Required skills: Docker, FastAPI, Machine Learning, PyTorch, SQL. Responsibilities include monitor model performance, develop machine learning pipelines, deploy models as APIs. The role requires approximately 2+ years of relevant experience.",83,"Docker, Machine Learning, PyTorch, SQL",FastAPI,Good Fit
"Aarav is a AI Engineer professional based in Pune with 0 years of experience. Education: B.Sc. in Computer Science. Skills include NLP, Scikit-learn, Deep Learning, Python, FastAPI. Experience includes process unstructured data, deploy inference services.","We are hiring a AI Engineer. Required skills: Transformers, Python, PyTorch, FastAPI, Computer Vision. Responsibilities include process unstructured data, deploy inference services, develop AI solutions. The role requires approximately 1+ years of relevant experience.",33,"Python, FastAPI","Transformers, PyTorch, Computer Vision",No Fit
"Aditya is a Python Developer professional based in Ahmedabad with 3 years of experience. Education: MCA. Skills include Docker, Unit Testing, FastAPI. Experience includes write Python code, integrate databases.","We are hiring a Python Developer. Required skills: SQL, Flask, Git, FastAPI, PostgreSQL. Responsibilities include write Python code, integrate databases, design REST APIs. The role requires approximately 2+ years of relevant experience.",32,FastAPI,"SQL, Flask, Git, PostgreSQL",No Fit
"Ishita is a AI Engineer professional based in Delhi with 0 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Deep Learning, NLP, Transformers, Git, Computer Vision, Python, FastAPI. Experience includes develop AI solutions, train deep learning models.","We are hiring a AI Engineer. Required skills: Transformers, Computer Vision, TensorFlow, Python, PyTorch, Scikit-learn. Responsibilities include train deep learning models, deploy inference services, process unstructured data. The role requires approximately 4+ years of relevant experience.",45,"Transformers, Computer Vision, Python","TensorFlow, PyTorch, Scikit-learn",No Fit
"Rahul is a ML Engineer professional based in Bengaluru with 4 years of experience. Education: B.Tech in Computer Science. Skills include Docker, FastAPI, SQL, TensorFlow, Python, Git, Scikit-learn, PyTorch, AWS. Experience includes develop machine learning pipelines, deploy models as APIs.","We are hiring a ML Engineer. Required skills: Scikit-learn, AWS, Docker, SQL, Git, Python, TensorFlow. Responsibilities include deploy models as APIs, develop machine learning pipelines, monitor model performance. The role requires approximately 1+ years of relevant experience.",100,"Scikit-learn, AWS, Docker, SQL, Git, Python, TensorFlow",None,Good Fit
"Rahul is a ML Engineer professional based in Bengaluru with 0 years of experience. Education: B.Sc. in Computer Science. Skills include Docker, Scikit-learn, FastAPI, Git, SQL, Machine Learning, TensorFlow. Experience includes deploy models as APIs, develop machine learning pipelines.","We are hiring a ML Engineer. Required skills: SQL, Python, Machine Learning, TensorFlow, Scikit-learn. Responsibilities include prepare training data, develop machine learning pipelines, deploy models as APIs. The role requires approximately 0+ years of relevant experience.",82,"SQL, Machine Learning, TensorFlow, Scikit-learn",Python,Good Fit
"Sneha is a Data Scientist professional based in Ahmedabad with 8 years of experience. Education: M.Sc. in Data Science. Skills include Machine Learning, Matplotlib, Scikit-learn, Pandas, Python. Experience includes perform statistical analysis, create data visualizations.","We are hiring a Data Scientist. Required skills: Machine Learning, Power BI, Pandas, Python, Scikit-learn. Responsibilities include build predictive models, clean and analyze datasets, create data visualizations. The role requires approximately 0+ years of relevant experience.",82,"Machine Learning, Pandas, Python, Scikit-learn",Power BI,Good Fit
"Aditya is a AI Engineer professional based in Ahmedabad with 5 years of experience. Education: MCA. Skills include Python, Transformers, NLP, Git. Experience includes train deep learning models, develop AI solutions.","We are hiring a AI Engineer. Required skills: Computer Vision, Scikit-learn, TensorFlow, Deep Learning, Git, NLP. Responsibilities include train deep learning models, process unstructured data, develop AI solutions. The role requires approximately 3+ years of relevant experience.",46,"Git, NLP","Computer Vision, Scikit-learn, TensorFlow, Deep Learning",No Fit
"Rohit is a Python Developer professional based in Chennai with 8 years of experience. Education: B.Tech in Computer Science. Skills include PostgreSQL, Git, Docker, Unit Testing, Django, REST API, FastAPI. Experience includes design REST APIs, write Python code.","We are hiring a Python Developer. Required skills: SQL, Git, REST API, Django, Python. Responsibilities include develop backend services, write Python code, integrate databases. The role requires approximately 3+ years of relevant experience.",66,"Git, REST API, Django","SQL, Python",Potential Fit
"Kavya is a ML Engineer professional based in Chennai with 1 years of experience. Education: M.Sc. in Data Science. Skills include FastAPI, Git, Scikit-learn, Machine Learning. Experience includes prepare training data, deploy models as APIs.","We are hiring a ML Engineer. Required skills: TensorFlow, SQL, Docker, Machine Learning, Scikit-learn. Responsibilities include deploy models as APIs, monitor model performance, prepare training data. The role requires approximately 2+ years of relevant experience.",41,"Machine Learning, Scikit-learn","TensorFlow, SQL, Docker",No Fit
"Vikram is a Backend Developer professional based in Ahmedabad with 6 years of experience. Education: MCA. Skills include Python, PostgreSQL, SQL, REST API, Java, Unit Testing, Redis, Docker, Spring Boot. Experience includes implement authentication, optimize database queries.","We are hiring a Backend Developer. Required skills: SQL, Spring Boot, Git, Java, Redis, Unit Testing, PostgreSQL, Python. Responsibilities include optimize database queries, design APIs, develop scalable backend services. The role requires approximately 5+ years of relevant experience.",88,"SQL, Spring Boot, Java, Redis, Unit Testing, PostgreSQL, Python",Git,Good Fit
"Meera is a AI Engineer professional based in Mumbai with 6 years of experience. Education: M.Sc. in Data Science. Skills include Deep Learning, FastAPI, Computer Vision. Experience includes develop AI solutions, process unstructured data.","We are hiring a AI Engineer. Required skills: NLP, Python, PyTorch, Scikit-learn, FastAPI. Responsibilities include process unstructured data, develop AI solutions, deploy inference services. The role requires approximately 4+ years of relevant experience.",35,FastAPI,"NLP, Python, PyTorch, Scikit-learn",No Fit
"Kiran is a Data Analyst professional based in Mumbai with 3 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Tableau, Python, Pandas, Excel, SQL, Data Visualization, Statistics, Power BI. Experience includes analyze business data, build dashboards.","We are hiring a Data Analyst. Required skills: Pandas, Excel, SQL, Statistics, Matplotlib. Responsibilities include analyze business data, build dashboards, identify trends. The role requires approximately 0+ years of relevant experience.",82,"Pandas, Excel, SQL, Statistics",Matplotlib,Good Fit
"Sanjay is a Backend Developer professional based in Ahmedabad with 5 years of experience. Education: M.Sc. in Data Science. Skills include Git, Redis, Java, REST API. Experience includes design APIs, optimize database queries.","We are hiring a Backend Developer. Required skills: PostgreSQL, Docker, REST API, Redis, SQL, Spring Boot. Responsibilities include design APIs, implement authentication, develop scalable backend services. The role requires approximately 4+ years of relevant experience.",41,"REST API, Redis","PostgreSQL, Docker, SQL, Spring Boot",No Fit
"Meera is a Cloud Engineer professional based in Mysuru with 0 years of experience. Education: B.E. in Information Technology. Skills include AWS, Git, CI/CD, Kubernetes, Docker, Linux, Terraform, Azure, Python. Experience includes automate deployments, monitor systems.","We are hiring a Cloud Engineer. Required skills: Kubernetes, Azure, Terraform, Networking, Git, Docker, AWS. Responsibilities include configure containerized services, monitor systems, automate deployments. The role requires approximately 0+ years of relevant experience.",88,"Kubernetes, Azure, Terraform, Git, Docker, AWS",Networking,Good Fit
"Aarav is a ML Engineer professional based in Chennai with 7 years of experience. Education: M.Sc. in Data Science. Skills include FastAPI, Git, Docker, PyTorch, AWS, Scikit-learn. Experience includes deploy models as APIs, prepare training data.","We are hiring a ML Engineer. Required skills: FastAPI, Python, Docker, Git, TensorFlow. Responsibilities include prepare training data, monitor model performance, deploy models as APIs. The role requires approximately 2+ years of relevant experience.",67,"FastAPI, Docker, Git","Python, TensorFlow",Potential Fit
"Kavya is a Cloud Engineer professional based in Mumbai with 8 years of experience. Education: B.Sc. in Computer Science. Skills include Kubernetes, Git, CI/CD, Azure, Docker, AWS, Terraform. Experience includes manage cloud infrastructure, automate deployments.","We are hiring a Cloud Engineer. Required skills: Git, Python, Linux, AWS, Terraform. Responsibilities include manage cloud infrastructure, configure containerized services, monitor systems. The role requires approximately 5+ years of relevant experience.",66,"Git, AWS, Terraform","Python, Linux",Potential Fit
"Kiran is a AI Engineer professional based in Hyderabad with 2 years of experience. Education: B.Sc. in Computer Science. Skills include Transformers, NLP, TensorFlow, PyTorch, Deep Learning, Computer Vision, FastAPI, Python, Scikit-learn. Experience includes deploy inference services, train deep learning models.","We are hiring a AI Engineer. Required skills: Deep Learning, Python, NLP, Git, Scikit-learn, PyTorch, Computer Vision. Responsibilities include develop AI solutions, process unstructured data, train deep learning models. The role requires approximately 2+ years of relevant experience.",88,"Deep Learning, Python, NLP, Scikit-learn, PyTorch, Computer Vision",Git,Good Fit
"Priya is a Python Developer professional based in Ahmedabad with 3 years of experience. Education: M.Tech in Artificial Intelligence. Skills include REST API, SQL, FastAPI. Experience includes develop backend services, design REST APIs.","We are hiring a Python Developer. Required skills: Django, Docker, FastAPI, Git, PostgreSQL, Python, SQL, Flask. Responsibilities include integrate databases, write Python code, develop backend services. The role requires approximately 1+ years of relevant experience.",36,"FastAPI, SQL","Django, Docker, Git, PostgreSQL, Python, Flask",No Fit
"Sneha is a Full Stack Developer professional based in Delhi with 7 years of experience. Education: M.Tech in Artificial Intelligence. Skills include CSS, React. Experience includes develop frontend components, create backend APIs.","We are hiring a Full Stack Developer. Required skills: CSS, Git, REST API, Python, Docker, HTML, React, JavaScript. Responsibilities include develop frontend components, integrate databases, create backend APIs. The role requires approximately 5+ years of relevant experience.",36,"CSS, React","Git, REST API, Python, Docker, HTML, JavaScript",No Fit
"Sanjay is a Backend Developer professional based in Chennai with 5 years of experience. Education: B.E. in Information Technology. Skills include Docker, REST API. Experience includes develop scalable backend services, implement authentication.","We are hiring a Backend Developer. Required skills: Python, Unit Testing, Redis, SQL, Docker, Spring Boot, PostgreSQL, Java. Responsibilities include design APIs, implement authentication, optimize database queries. The role requires approximately 5+ years of relevant experience.",28,Docker,"Python, Unit Testing, Redis, SQL, Spring Boot, PostgreSQL, Java",No Fit
"Rahul is a Full Stack Developer professional based in Mysuru with 5 years of experience. Education: B.Tech in Computer Science. Skills include Python, Git, SQL, HTML, REST API, React, Docker. Experience includes create backend APIs, build responsive web applications.","We are hiring a Full Stack Developer. Required skills: REST API, Python, Node.js, SQL, Docker. Responsibilities include integrate databases, create backend APIs, develop frontend components. The role requires approximately 1+ years of relevant experience.",84,"REST API, Python, SQL, Docker",Node.js,Good Fit
"Neha is a Python Developer professional based in Mumbai with 3 years of experience. Education: MCA. Skills include Docker, PostgreSQL, Git, Unit Testing, Django, Flask, Python, FastAPI. Experience includes develop backend services, write Python code.","We are hiring a Python Developer. Required skills: REST API, Docker, Unit Testing, SQL, Python, FastAPI. Responsibilities include write Python code, develop backend services, integrate databases. The role requires approximately 5+ years of relevant experience.",68,"Docker, Unit Testing, Python, FastAPI","REST API, SQL",Potential Fit
"Rohit is a Data Scientist professional based in Chennai with 1 years of experience. Education: M.Tech in Artificial Intelligence. Skills include Statistics, SQL, Pandas, NumPy, TensorFlow, Python. Experience includes clean and analyze datasets, perform statistical analysis.","We are hiring a Data Scientist. Required skills: TensorFlow, NumPy, Python, Machine Learning, Power BI. Responsibilities include build predictive models, create data visualizations, perform statistical analysis. The role requires approximately 4+ years of relevant experience.",53,"TensorFlow, NumPy, Python","Machine Learning, Power BI",Potential Fit
"Rohit is a AI Engineer professional based in Chennai with 2 years of experience. Education: B.E. in Information Technology. Skills include Deep Learning, Scikit-learn, Transformers, Computer Vision, PyTorch, Python, FastAPI, NLP, Git. Experience includes develop AI solutions, deploy inference services.","We are hiring a AI Engineer. Required skills: Computer Vision, PyTorch, Scikit-learn, TensorFlow, NLP, Deep Learning. Responsibilities include develop AI solutions, train deep learning models, deploy inference services. The role requires approximately 4+ years of relevant experience.",79,"Computer Vision, PyTorch, Scikit-learn, NLP, Deep Learning",TensorFlow,Good Fit
"Ishita is a Data Analyst professional based in Chennai with 8 years of experience. Education: B.Tech in Computer Science. Skills include Data Visualization, Pandas, Python, Power BI. Experience includes build dashboards, identify trends.","We are hiring a Data Analyst. Required skills: Excel, Python, Pandas, Tableau, Matplotlib. Responsibilities include analyze business data, identify trends, build dashboards. The role requires approximately 3+ years of relevant experience.",50,"Python, Pandas","Excel, Tableau, Matplotlib",Potential Fit
"Aarav is a Data Scientist professional based in Ahmedabad with 1 years of experience. Education: B.Tech in Computer Science. Skills include Pandas, TensorFlow, SQL, Machine Learning, Scikit-learn. Experience includes build predictive models, clean and analyze datasets.","We are hiring a Data Scientist. Required skills: Scikit-learn, Matplotlib, Machine Learning, Pandas, Python, Statistics, NumPy. Responsibilities include create data visualizations, perform statistical analysis, build predictive models. The role requires approximately 1+ years of relevant experience.",53,"Scikit-learn, Machine Learning, Pandas","Matplotlib, Python, Statistics, NumPy",Potential Fit
"Aditya is a ML Engineer professional based in Ahmedabad with 4 years of experience. Education: M.Sc. in Data Science. Skills include Docker, Git, TensorFlow, Machine Learning, Python, AWS, SQL, FastAPI. Experience includes develop machine learning pipelines, deploy models as APIs.","We are hiring a ML Engineer. Required skills: Git, SQL, Scikit-learn, AWS, FastAPI, TensorFlow, Python. Responsibilities include prepare training data, monitor model performance, develop machine learning pipelines. The role requires approximately 2+ years of relevant experience.",85,"Git, SQL, AWS, FastAPI, TensorFlow, Python",Scikit-learn,Good Fit
"Ananya is a Backend Developer professional based in Pune with 8 years of experience. Education: MCA. Skills include Git, PostgreSQL, Docker, REST API, Unit Testing, Python, SQL, Redis. Experience includes implement authentication, develop scalable backend services.","We are hiring a Backend Developer. Required skills: Redis, PostgreSQL, Python, Docker, Git, REST API, Unit Testing. Responsibilities include optimize database queries, implement authentication, design APIs. The role requires approximately 5+ years of relevant experience.",100,"Redis, PostgreSQL, Python, Docker, Git, REST API, Unit Testing",None,Good Fit
"Aarav is a AI Engineer professional based in Delhi with 5 years of experience. Education: M.Sc. in Data Science. Skills include Git, Python, Scikit-learn, FastAPI. Experience includes process unstructured data, develop AI solutions.","We are hiring a AI Engineer. Required skills: Git, TensorFlow, PyTorch, Transformers, Python, NLP, Deep Learning, Scikit-learn. Responsibilities include process unstructured data, deploy inference services, develop AI solutions. The role requires approximately 4+ years of relevant experience.",45,"Git, Python, Scikit-learn","TensorFlow, PyTorch, Transformers, NLP, Deep Learning",No Fit
"Rohit is a Full Stack Developer professional based in Bengaluru with 5 years of experience. Education: M.Sc. in Data Science. Skills include HTML, SQL. Experience includes create backend APIs, integrate databases.","We are hiring a Full Stack Developer. Required skills: Git, Python, REST API, SQL, React. Responsibilities include integrate databases, create backend APIs, develop frontend components. The role requires approximately 0+ years of relevant experience.",31,SQL,"Git, Python, REST API, React",No Fit
"Rahul is a Cloud Engineer professional based in Pune with 3 years of experience. Education: MCA. Skills include Git, Kubernetes, CI/CD, Terraform, Linux, AWS, Azure, Docker, Python. Experience includes configure containerized services, monitor systems.","We are hiring a Cloud Engineer. Required skills: Git, CI/CD, Terraform, Linux, Azure, Docker. Responsibilities include automate deployments, configure containerized services, monitor systems. The role requires approximately 3+ years of relevant experience.",100,"Git, CI/CD, Terraform, Linux, Azure, Docker",None,Good Fit
"Rahul is a Backend Developer professional based in Mysuru with 8 years of experience. Education: MCA. Skills include SQL, Unit Testing, REST API, PostgreSQL, Spring Boot, Java, Git. Experience includes design APIs, develop scalable backend services.","We are hiring a Backend Developer. Required skills: PostgreSQL, Docker, Unit Testing, SQL, Python, REST API, Git, Java. Responsibilities include develop scalable backend services, optimize database queries, design APIs. The role requires approximately 3+ years of relevant experience.",81,"PostgreSQL, Unit Testing, SQL, REST API, Git, Java","Docker, Python",Good Fit
"Kavya is a Full Stack Developer professional based in Chennai with 0 years of experience. Education: B.E. in Information Technology. Skills include Docker, CSS, SQL, Python. Experience includes develop frontend components, build responsive web applications.","We are hiring a Full Stack Developer. Required skills: CSS, JavaScript, React, Node.js, SQL, Docker, Python. Responsibilities include integrate databases, build responsive web applications, develop frontend components. The role requires approximately 1+ years of relevant experience.",46,"CSS, SQL, Docker, Python","JavaScript, React, Node.js",No Fit
"Priya is a AI Engineer professional based in Noida with 0 years of experience. Education: M.Sc. in Data Science. Skills include Deep Learning, PyTorch, Python. Experience includes develop AI solutions, deploy inference services.","We are hiring a AI Engineer. Required skills: Deep Learning, PyTorch, FastAPI, Python, NLP, Transformers, TensorFlow. Responsibilities include process unstructured data, train deep learning models, develop AI solutions. The role requires approximately 0+ years of relevant experience.",49,"Deep Learning, PyTorch, Python","FastAPI, NLP, Transformers, TensorFlow",No Fit
"Sanjay is a ML Engineer professional based in Chennai with 2 years of experience. Education: M.Sc. in Data Science. Skills include AWS, PyTorch, Python, SQL, Scikit-learn, Machine Learning, Git. Experience includes monitor model performance, develop machine learning pipelines.","We are hiring a ML Engineer. Required skills: AWS, TensorFlow, FastAPI, SQL, Scikit-learn, Machine Learning, PyTorch. Responsibilities include prepare training data, monitor model performance, deploy models as APIs. The role requires approximately 5+ years of relevant experience.",64,"AWS, SQL, Scikit-learn, Machine Learning, PyTorch","TensorFlow, FastAPI",Potential Fit
"Arjun is a Backend Developer professional based in Pune with 1 years of experience. Education: M.Tech in Artificial Intelligence. Skills include SQL, PostgreSQL, Docker, Unit Testing, Java, Redis, Spring Boot, Python. Experience includes optimize database queries, implement authentication.","We are hiring a Backend Developer. Required skills: Python, PostgreSQL, Redis, SQL, Java, Unit Testing. Responsibilities include design APIs, optimize database queries, develop scalable backend services. The role requires approximately 1+ years of relevant experience.",100,"Python, PostgreSQL, Redis, SQL, Java, Unit Testing",None,Good Fit
"Rohit is a Data Analyst professional based in Delhi with 3 years of experience. Education: B.Tech in Computer Science. Skills include Data Visualization, Python, Data Cleaning, SQL, Pandas, Power BI, Excel. Experience includes write SQL queries, analyze business data.","We are hiring a Data Analyst. Required skills: Pandas, Data Cleaning, Matplotlib, Excel, Python, Power BI, Data Visualization, SQL. Responsibilities include build dashboards, identify trends, write SQL queries. The role requires approximately 3+ years of relevant experience.",89,"Pandas, Data Cleaning, Excel, Python, Power BI, Data Visualization, SQL",Matplotlib,Good Fit
"Kavya is a Cloud Engineer professional based in Hyderabad with 5 years of experience. Education: B.E. in Information Technology. Skills include AWS, Git, Kubernetes, Networking, Azure, Python, CI/CD, Linux. Experience includes configure containerized services, monitor systems.","We are hiring a Cloud Engineer. Required skills: Kubernetes, Azure, Git, Terraform, Docker, Python, CI/CD, Linux. Responsibilities include automate deployments, manage cloud infrastructure, configure containerized services. The role requires approximately 4+ years of relevant experience.",76,"Kubernetes, Azure, Git, Python, CI/CD, Linux","Terraform, Docker",Good Fit
"Sanjay is a ML Engineer professional based in Kochi with 7 years of experience. Education: M.Sc. in Data Science. Skills include AWS, Scikit-learn, FastAPI. Experience includes prepare training data, deploy models as APIs.","We are hiring a ML Engineer. Required skills: TensorFlow, Scikit-learn, Machine Learning, SQL, Docker. Responsibilities include monitor model performance, deploy models as APIs, develop machine learning pipelines. The role requires approximately 1+ years of relevant experience.",33,Scikit-learn,"TensorFlow, Machine Learning, SQL, Docker",No Fit
"Vikram is a Python Developer professional based in Bengaluru with 0 years of experience. Education: B.E. in Information Technology. Skills include Git, REST API, Django, SQL, Unit Testing, FastAPI, Docker. Experience includes design REST APIs, develop backend services.","We are hiring a Python Developer. Required skills: SQL, Django, Docker, FastAPI, Python, REST API, Flask, PostgreSQL. Responsibilities include write Python code, develop backend services, integrate databases. The role requires approximately 2+ years of relevant experience.",52,"SQL, Django, Docker, FastAPI, REST API","Python, Flask, PostgreSQL",Potential Fit
"Kiran is a ML Engineer professional based in Hyderabad with 3 years of experience. Education: MCA. Skills include Git, SQL, Machine Learning, PyTorch, TensorFlow, FastAPI, Scikit-learn, Python, Docker. Experience includes prepare training data, deploy models as APIs.","We are hiring a ML Engineer. Required skills: Docker, Machine Learning, SQL, AWS, Python, PyTorch. Responsibilities include develop machine learning pipelines, deploy models as APIs, prepare training data. The role requires approximately 4+ years of relevant experience.",83,"Docker, Machine Learning, SQL, Python, PyTorch",AWS,Good Fit
"Rohit is a Python Developer professional based in Ahmedabad with 7 years of experience. Education: MCA. Skills include FastAPI, PostgreSQL, Git, Flask. Experience includes integrate databases, design REST APIs.","We are hiring a Python Developer. Required skills: FastAPI, Docker, Django, SQL, REST API, PostgreSQL. Responsibilities include integrate databases, write Python code, design REST APIs. The role requires approximately 4+ years of relevant experience.",48,"FastAPI, PostgreSQL","Docker, Django, SQL, REST API",No Fit
"Kiran is a Python Developer professional based in Kochi with 3 years of experience. Education: MCA. Skills include Git, FastAPI, SQL, Django, Docker, Flask. Experience includes develop backend services, integrate databases.","We are hiring a Python Developer. Required skills: Unit Testing, Git, Flask, PostgreSQL, Python, Django. Responsibilities include write Python code, develop backend services, integrate databases. The role requires approximately 3+ years of relevant experience.",61,"Git, Flask, Django","Unit Testing, PostgreSQL, Python",Potential Fit
"Sneha is a Cloud Engineer professional based in Chennai with 3 years of experience. Education: B.Sc. in Computer Science. Skills include Terraform, Linux, Networking, Azure, Kubernetes, Git. Experience includes configure containerized services, automate deployments.","We are hiring a Cloud Engineer. Required skills: Linux, AWS, Kubernetes, Python, Docker. Responsibilities include monitor systems, manage cloud infrastructure, configure containerized services. The role requires approximately 5+ years of relevant experience.",46,"Linux, Kubernetes","AWS, Python, Docker",No Fit
"Aditya is a Python Developer professional based in Kochi with 1 years of experience. Education: B.E. in Information Technology. Skills include FastAPI, Docker, SQL, Python, Unit Testing, Django. Experience includes integrate databases, design REST APIs.","We are hiring a Python Developer. Required skills: Flask, Python, PostgreSQL, Git, Unit Testing, Docker. Responsibilities include write Python code, integrate databases, design REST APIs. The role requires approximately 1+ years of relevant experience.",62,"Python, Unit Testing, Docker","Flask, PostgreSQL, Git",Potential Fit
